# GENERATED by qa-docs/_meta/generate-lookup.py — do not edit
# regenerate: python3 qa-docs/_meta/generate-lookup.py
# protocol: qa-docs/_meta/README-lookup.md
# alias	slug	menu_name	module	source	routes	kb	req	tech	ug	also	readme
/#	ai-kb-assistant	AI Assistant	AI	route	#	draft	draft	draft	pending		qa-docs/ai-kb-assistant/README.md
/accounting/account-payable-report	accounting-account-payable-report	Account Payable Report	Accounting	route	accounting/account-payable-report	pending	draft	draft	pending		qa-docs/accounting-account-payable-report/README.md
/accounting/account-receivable-report	accounting-account-receivable-report	Account Receivable Report	Accounting	route	accounting/account-receivable-report	pending	pending	pending	pending		qa-docs/accounting-account-receivable-report/README.md
/accounting/adjustment-inbound	accounting-adjustment-inbound	Stock Addition Approval	Accounting	route	accounting/adjustment-inbound	pending	pending	pending	pending		qa-docs/accounting-adjustment-inbound/README.md
/accounting/adjustment-outbound	accounting-adjustment-outbound	Stock Deduction Approval	Accounting	route	accounting/adjustment-outbound	pending	pending	pending	pending		qa-docs/accounting-adjustment-outbound/README.md
/accounting/asset-category	accounting-asset-category	Asset Category	Accounting	route	accounting/asset-category	pending	pending	pending	pending		qa-docs/accounting-asset-category/README.md
/accounting/asset-list	accounting-asset-list	Asset List	Accounting	route	accounting/asset-list	pending	pending	pending	pending		qa-docs/accounting-asset-list/README.md
/accounting/balance-sheet	accounting-balance-sheet	Balance Sheet	Accounting	route	accounting/balance-sheet	review	review	review	review		qa-docs/accounting-balance-sheet/README.md
/accounting/cash-bank-reconcile	accounting-cash-bank-reconcile	Cash/Bank Reconcile	Accounting	route	accounting/cash-bank-reconcile	review	review	review	review		qa-docs/accounting-cash-bank-reconcile/README.md
/accounting/chart-of-account	accounting-chart-of-account	Chart of Account (Master COA)	Accounting	route	accounting/chart-of-account	review	review	review	review		qa-docs/accounting-chart-of-account/README.md
/accounting/company-detail-bank	accounting-company-detail-bank	Cash/Bank Account	Accounting	route	accounting/company-detail-bank	review	review	review	review		qa-docs/accounting-company-detail-bank/README.md
/accounting/consolidation-report	accounting-consolidation-report	Consolidation Report	Accounting	route	accounting/consolidation-report	pending	pending	pending	pending		qa-docs/accounting-consolidation-report/README.md
/accounting/credit-note	accounting-credit-note	Credit Note	Accounting	route	accounting/credit-note	review	review	review	review		qa-docs/accounting-credit-note/README.md
/accounting/customer-invoice	accounting-customer-invoice	Sales Invoice	Accounting	route	accounting/customer-invoice	review	review	review	review		qa-docs/accounting-customer-invoice/README.md
/accounting/customer-payment	accounting-customer-payment	Account Receive	Accounting	route	accounting/customer-payment	review	review	review	review		qa-docs/accounting-customer-payment/README.md
/accounting/debit-note	accounting-debit-note	Debit Note	Accounting	route	accounting/debit-note	review	review	review	review		qa-docs/accounting-debit-note/README.md
/accounting/default-vat	accounting-default-vat	Default VAT	Accounting	route	accounting/default-vat	review	review	review	review		qa-docs/accounting-default-vat/README.md
/accounting/fiscal-period	accounting-fiscal-period	Fiscal Period	Accounting	route	accounting/fiscal-period	review	review	review	review		qa-docs/accounting-fiscal-period/README.md
/accounting/general-ledger	general-ledger	General Ledger Report	Accounting	route	accounting/general-ledger	review	review	review	review		qa-docs/general-ledger/README.md
/accounting/item	accounting-item	Item COA	Accounting	route	accounting/item	pending	pending	pending	pending		qa-docs/accounting-item/README.md
/accounting/journal	journal	Journal	Accounting	route	accounting/journal	review	review	review	review		qa-docs/journal/README.md
/accounting/opening-stock	accounting-opening-stock	Opening Stock	Accounting	route	accounting/opening-stock	review	review	review	review		qa-docs/accounting-opening-stock/README.md
/accounting/platform-account-labels	accounting-platform-account-labels	Platform Account Labelling	Accounting	route	accounting/platform-account-labels	pending	pending	pending	pending		qa-docs/accounting-platform-account-labels/README.md
/accounting/platform-account-mapping	accounting-platform-account-mapping	Platform Account Mapping	Accounting	route	accounting/platform-account-mapping	pending	pending	pending	pending		qa-docs/accounting-platform-account-mapping/README.md
/accounting/product-benchmark-price	accounting-product-benchmark-price	Benchmark COGS	Accounting	route	accounting/product-benchmark-price	review	review	review	review		qa-docs/accounting-product-benchmark-price/README.md
/accounting/product-coa-group	accounting-product-coa-group	Product COA Group	Accounting	route	accounting/product-coa-group	review	review	review	review		qa-docs/accounting-product-coa-group/README.md
/accounting/product-profit-loss	accounting-product-profit-loss	Product Profit Loss	Accounting	route	accounting/product-profit-loss	draft	draft	draft	pending		qa-docs/accounting-product-profit-loss/README.md
/accounting/profit-loss	accounting-profit-loss	Profit & Loss	Accounting	route	accounting/profit-loss	review	review	review	review		qa-docs/accounting-profit-loss/README.md
/accounting/profit-loss-v1	accounting-profit-loss-v1	Dev - Profit & Loss	Accounting	route	accounting/profit-loss-v1	review	review	review	review		qa-docs/accounting-profit-loss-v1/README.md
/accounting/purchase-report	accounting-purchase-report	Purchase Report	Accounting	route	accounting/purchase-report	review	review	review	review		qa-docs/accounting-purchase-report/README.md
/accounting/purchase-return	accounting-purchase-return	Purchase Return	Accounting	route	accounting/purchase-return	draft	draft	draft	pending		qa-docs/accounting-purchase-return/README.md
/accounting/sales-order-invoicing	accounting-sales-order-invoicing	Sales Order Invoicing	Accounting	route	accounting/sales-order-invoicing	pending	pending	pending	pending		qa-docs/accounting-sales-order-invoicing/README.md
/accounting/sales-order-profit-loss	accounting-sales-order-profit-loss	Sales Order Profit Loss	Accounting	route	accounting/sales-order-profit-loss	pending	pending	pending	pending		qa-docs/accounting-sales-order-profit-loss/README.md
/accounting/sales-return	accounting-sales-return	Sales Return	Accounting	route	accounting/sales-return	review	review	review	review		qa-docs/accounting-sales-return/README.md
/accounting/settlement-mapping	accounting-settlement-mapping	Settlement Mapping	Accounting	route	accounting/settlement-mapping	draft	draft	pending	pending		qa-docs/accounting-settlement-mapping/README.md
/accounting/settlement-upload	accounting-settlement-upload	Instant Settlement	Accounting	route	accounting/settlement-upload	review	review	review	review		qa-docs/accounting-settlement-upload/README.md
/accounting/stock-monitoring-value	accounting-stock-monitoring-value	Stock Monitoring Value	Accounting	route	accounting/stock-monitoring-value	draft	draft	draft	pending		qa-docs/accounting-stock-monitoring-value/README.md
/accounting/stock-opname-approval	accounting-stock-opname-approval	Stock Opname Approval 	Accounting	route	accounting/stock-opname-approval	pending	pending	pending	pending		qa-docs/accounting-stock-opname-approval/README.md
/accounting/stock-remapping	accounting-stock-remapping	Stock Remapping	Accounting	route	accounting/stock-remapping	review	review	review	review		qa-docs/accounting-stock-remapping/README.md
